Date,Time,Event,Count,Notes,Location
Fri. Feb. 6,8pm,Ussachevsky Concert,76,,Lyman Hall
Sat. Feb. 7,8pm,Ussachevsky Concert,59,,Lyman Hall
Fri. Feb. 13,8pm,Pomonapalooza,255,Family Weekend,Bridges Hall of Music
Sat. Feb. 14,8pm,Genevieve Lee Recital,132,Family Weekend,Bridges Hall of Music
Sun. Feb. 15,3pm,Pomona Composers,94,Family Weekend,Bridges Hall of Music
Fri. Feb. 20,8pm,Burke Sr. Recital,?,,Lyman Hall
Sun. Feb. 22,3pm,Guitar Extravaganza,113,Oscar Sunday,Bridges Hall of Music
Wed. Feb. 25,8:15pm,Student Recital,30,very few performers,Lyman Hall
Fri. Mar. 6,8pm,Orchestra,233,Concerto Comp.,Bridges Hall of Music
Sun. Mar. 8,3pm,Orchestra,274,Concerto Comp.,Bridges Hall of Music
Tues. Mar. 10,4:30pm,Jazz Ensemble,154,,Lyman Hall
Fri. Mar. 27,8pm,Zhang Sr. Recital,82,,Lyman Hall
Sat. Mar. 28,4pm,Gamelan Sekar Jaya,202,,Carolyn Lyon Garden
Sat. Mar. 28,8pm,Gamelan Sekar Jaya,254,,Bridges Hall of Music
Wed. April 1,8:15pm,Student Recital,46,,Lyman Hall
Sat. April 4,8pm,White Sr. Recital,33,,Lyman Hall
Fri. April 10,8pm,Chong Jr. Recital,61,,Lyman Hall
Sat. April 11,8pm,Cole/Wayment-Steele Jr/Sr recital,75,,Lyman Hall
Sun. April 12,3pm,Peterson Recital,167,,Bridges Hall of Music
Mon. April 13,9am,Admissions Day,222,,Bridges Hall of Music
Fri. April 17,8pm,Choir/Orchestra Concert,385,,Bridges Hall of Music
Sat. April 18,3pm,Mentors Recital,47,,Lyman Hall
Sun. April 19,3pm,Choir/Orchestra Concert,459,,Bridges Hall of Music
Mon. April 20,9am,Admissions Day,180,,Bridges Hall of Music
Tues. April 21,4:30pm,Akropolist MC,unknown,,Lyman Hall
Fri. April 24,8pm,Pelev-Horn Trios,102,,Bridges Hall of Music
Sat. April 25,8pm,Trios Lykos,139,,Bridges Hall of Music
Sun. April 26,8pm,Guam/R. Luo Jr. Recital,26,,Lyman Hall
Mon. April 27,8:15pm,Afro-Cuban,125,,Lyman Hall
Thurs. April 30,8pm,Glee Club Concert,217,,Bridges Hall of Music
Fri. May 1,8pm,Jazz Ensemble,294,Alumni Weekend,Bridges Hall of Music
Sat. May 2 ,11am,Band Concert,238,Alumni Weekend,Bridges Hall of Music
Sat. May 2 ,1:30pm,Glee Club Concert,289,Alumni Weekend,Bridges Hall of Music
Sun. May 3,9:30am,Alumni Memorial Service,61,Alumni Weekend,Bridges Hall of Music
Sun. May 3,8pm,Band Concert,115,,Bridges Hall of Music
Mon. May 4,8pm,Gamelan Concert,156,,Bridges Hall of Music
Tues. May 5,7pm,Student Recital,82,,Lyman Hall
Wed. May 6,7pm,Student Recital,67,,Lyman Hall
